impact_id,label,timestamp_us,odr_hz,fs_g,pretrigger_recorded,stage1_count,stage2_count,peak_mag_mg,peak_dev_mg,rms_dev_mg,decay_ms,band_0,band_1,band_2,band_3
18,eraser_flat,172963004,1660,8,128,1024,1024,12232.435546875,10227.7236328125,1294.6690673828125,8.433734893798828,851677504.0,391169216.0,667205440.0,929206848.0
19,eraser_flat,177927128,1660,8,128,1024,1024,12209.66015625,10200.263671875,1699.951904296875,1.2048193216323853,1666042880.0,1776025728.0,58848672.0,437247392.0
20,eraser_flat,182698689,1660,8,128,1024,1024,11178.8359375,9173.2412109375,1592.658203125,8.433734893798828,128581048.0,857149824.0,341285824.0,140794304.0
21,eraser_flat,187353106,1660,8,128,1024,1024,13835.888671875,11830.5419921875,1767.4420166015625,12.048192977905273,1304468736.0,641295296.0,1508994048.0,284771520.0
23,eraser_flat,196683956,1660,8,128,1024,1024,13105.2119140625,11099.240234375,1373.886962890625,7.831325531005859,1669294336.0,754718400.0,779324864.0,109077512.0
24,eraser_flat,201554612,1660,8,128,1024,1024,13837.861328125,11829.513671875,1726.5120849609375,2.4096386432647705,1895477376.0,1558698880.0,59583324.0,541140032.0
26,eraser_flat,211116578,1660,8,128,1024,1024,10884.935546875,8878.98828125,1442.2232666015625,7.228916168212891,3668981504.0,600405888.0,272514656.0,149498160.0
27,eraser_flat,215058806,1660,8,128,1024,1024,10964.9931640625,8958.802734375,1657.344970703125,5.421687126159668,1694111232.0,237184592.0,245682560.0,840127232.0
30,eraser_flat,227314382,1660,8,128,1024,1024,10591.5009765625,8587.3056640625,1396.9608154296875,1.8072290420532227,902683904.0,1873116160.0,451904640.0,1120452352.0
31,eraser_flat,231751338,1660,8,128,1024,1024,12126.5791015625,10121.21875,1579.3773193359375,6.626506328582764,864390592.0,161310880.0,74726384.0,153097280.0
32,eraser_flat,235192809,1660,8,128,1024,1024,11228.107421875,9222.51171875,1386.7371826171875,0.6024096608161926,525130656.0,466497664.0,824289856.0,197639968.0
33,eraser_flat,239133018,1660,8,128,1024,1024,12286.4521484375,10283.275390625,1603.4813232421875,3.6144580841064453,551658944.0,20112274.0,488840992.0,417703392.0
34,eraser_flat,242997703,1660,8,128,1024,1024,11500.3916015625,9494.77734375,1327.283203125,1.2048193216323853,3764904960.0,928386880.0,1159707008.0,135866784.0
35,eraser_flat,246836904,1660,8,128,1024,1024,13746.150390625,11740.625,1674.0947265625,0.6024096608161926,2013929984.0,3845078016.0,84210288.0,720135744.0
36,eraser_flat,250837094,1660,8,128,1024,1024,13436.111328125,11430.646484375,1858.42578125,45.18072509765625,2098966784.0,266207792.0,1767572864.0,534527872.0
37,eraser_flat,254679103,1660,8,128,1024,1024,12985.009765625,10979.955078125,2038.5894775390625,21.686748504638672,156010112.0,1035571136.0,439912992.0,205061984.0
38,eraser_flat,258576183,1660,8,128,1024,1024,12773.6708984375,10768.23828125,1598.55029296875,19.277109146118164,2857322240.0,866425408.0,146368304.0,12131217.0
39,eraser_flat,262363688,1660,8,128,1024,1024,13554.56640625,11551.439453125,1444.4857177734375,13.855422019958496,2452339200.0,1483153664.0,1050549120.0,204892848.0
40,eraser_flat,266141182,1660,8,128,1024,1024,11479.859375,9475.66796875,1487.988037109375,33.132530212402344,5678749184.0,1192401024.0,207511392.0,280986656.0
41,eraser_flat,269976638,1660,8,128,1024,1024,12999.9775390625,10990.4873046875,1460.7420654296875,24.096385955810547,702899328.0,1319931648.0,837339968.0,120446864.0
42,eraser_flat,273786247,1660,8,128,1024,1024,11266.7666015625,9262.0458984375,1303.8016357421875,7.228916168212891,1197294976.0,794498240.0,433681184.0,76734760.0
43,eraser_flat,277613776,1660,8,128,1024,1024,11214.3271484375,9210.359375,1617.42138671875,27.710844039916992,3329677056.0,1328761216.0,43319600.0,1144893568.0
44,eraser_flat,281542690,1660,8,128,1024,1024,11464.716796875,9458.7783203125,1366.8326416015625,5.421687126159668,4691623424.0,301006944.0,116129136.0,91390624.0
45,eraser_flat,285488495,1660,8,128,1024,1024,12271.578125,10267.8564453125,1824.0653076171875,37.34939956665039,192918816.0,1338093184.0,65153908.0,521547520.0
46,eraser_flat,289478999,1660,8,128,1024,1024,11225.1513671875,9220.927734375,1432.485595703125,25.903615951538086,3976504064.0,2273883392.0,142718352.0,308143488.0
47,eraser_flat,293339675,1660,8,128,1024,1024,13015.8974609375,11010.662109375,1660.2359619140625,3.0120482444763184,4710003200.0,1024854464.0,339993312.0,428217504.0
48,eraser_flat,297251527,1660,8,128,1024,1024,13476.0068359375,11472.4208984375,1925.5286865234375,26.506025314331055,530874400.0,622512128.0,181355296.0,29106030.0
49,eraser_flat,301137720,1660,8,128,1024,1024,11867.03125,9860.7216796875,1726.693603515625,12.048192977905273,1295094144.0,12918187.0,12344370.0,1268795008.0
51,eraser_flat,311108321,1660,8,128,1024,1024,11356.26953125,9350.9326171875,1828.31591796875,1.8072290420532227,3134626816.0,267639824.0,156849888.0,661253120.0
52,eraser_flat,315045038,1660,8,128,1024,1024,13215.6650390625,11209.9365234375,1708.101806640625,1.8072290420532227,1796221952.0,353585536.0,561729216.0,7356688.5
